***** Saludos usuario, has buscado la palabra 'Pregunta' en los archivos ../resources/prueba.txt ../resources/VIVE-TU-SUEÑO.txt  *****
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 6581 --> p de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 6649 --> p de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 6690 --> le ra.
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 6703 --> la del
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 6709 --> la de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 6715 --> p de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 6782 --> p de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 6849 --> p de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 6952 --> p de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 7024 --> p de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 7096 --> p de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 7165 --> p de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 7247 --> p de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 7302 --> LA DE
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 7334 --> p de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 7346 --> la del
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 7351 --> otra que
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 7353 --> la de
Buscador: 3 Hilo: 1 Archivo: ../resources/VIVE-TU-SUEÑO.txt Linea: 7358 --> p de
